Database,Acc_number,Suffix,MMC_ID,Name,Restrand_Occurrence_num,Age_Class,Sex,Common_Name,Genus,Species,Strand_Date,Stranding_County,Stranding_City,Stranding_Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Admit_Weight_kg,Admit_Length_cm,Disposition_Date,Disposition,Dispo_Weight_kg,Dispo_Length_cm,CODeath_List,Diagnosis_List
Lloyd,12354,,CSL-12354,Holstein,,Adult,Female,California Sea Lion,Zalophus,californianus,04/25/2015,Monterey,Monterey,Breakwater Cove Marina (Monterey Harbor),On launch ramp,36.6091,-121.8940,04/25/2015,79,146,05/14/2015,euthanasia,79,146,"euthanasia, gunshot","domoic acid toxicity (acute), gunshot"
Lloyd,12358,,CSL-12358,Tomcat,,Adult,Female,California Sea Lion,Zalophus,californianus,04/25/2015,San Francisco,San Francisco,Ocean Beach,Sloat just south of parking lot,37.7340,-122.5079,04/25/2015,70.5,161,04/26/2015,euthanasia,67.5,161,"euthanasia, domoic acid toxicity (chronic), malnutrition",domoic acid toxicity (chronic)
Lloyd,12359,,CSL-12359,Lilyflower,,Subadult,Female,California Sea Lion,Zalophus,californianus,04/25/2015,San Luis Obispo,Morro Bay,Morro Strand State Beach - South,,35.4099,-120.8733,04/25/2015,35.5,141,05/30/2015,released,51.5,,,"malnutrition, domoic acid toxicity (chronic)"
Lloyd,12385,,CSL-12385,Colleen,,Adult,Female,California Sea Lion,Zalophus,californianus,04/29/2015,Monterey,Monterey,Monterey Harbor,Santa Rosalito Beach,36.6039,-121.8934,04/29/2015,57,171,05/07/2015,euthanasia,63.5,171,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (chronic), malnutrition"
Lloyd,12403,,CSL-12403,Waterloo,,Adult,Female,California Sea Lion,Zalophus,californianus,05/03/2015,Santa Cruz,La Selva,Manresa State Beach,1/4 mile north of the tresle,36.9290,-121.8770,05/03/2015,72,152,05/17/2015,euthanasia,72,163,"euthanasia, malnutrition, domoic acid toxicity (chronic), pneumonia","domoic acid toxicity (chronic), malnutrition"
Lloyd,12404,,CSL-12404,Shell Shock,,Adult,Female,California Sea Lion,Zalophus,californianus,05/03/2015,Santa Cruz,Watsonville,Sunset State Beach,~200 yards from tower #11,36.8830,-121.8390,05/03/2015,57,172,05/05/2015,euthanasia,79,172,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Lloyd,12406,,CSL-12406,Butterboo,,Adult,Female,California Sea Lion,Zalophus,californianus,05/03/2015,Monterey,Moss Landing,Moss Landing Beach,"end of jetty road on the sand on the inlet side, across from Seaharvest",36.8095,-121.7877,05/03/2015,81,128,05/17/2015,euthanasia,81,145,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (chronic), malnutrition"
Lloyd,12408,,CSL-12408,DOA,,Adult,Female,California Sea Lion,Zalophus,californianus,05/04/2015,Santa Cruz,Aptos,Lundborgh Beach (Trestle Beach),,36.9375,-121.8680,05/04/2015,53,141,05/04/2015,DOA,53,141,"domoic acid toxicity (chronic), cardiomyopathy",domoic acid toxicity (chronic)
Lloyd,12409,,CSL-12409,Tracy,,Adult,Female,California Sea Lion,Zalophus,californianus,05/04/2015,Monterey,Moss Landing,,"7722 Sandholt Road, aquaculture facility",36.7999,-121.7672,05/04/2015,63,145,05/14/2015,euthanasia,63,145,"euthanasia, domoic acid toxicity (chronic)",malnutrition
Lloyd,12411,,CSL-12411,Queso,,Adult,Female,California Sea Lion,Zalophus,californianus,05/05/2015,Santa Cruz,Santa Cruz,Santa Cruz Municipal Wharf,,36.9530,-122.0130,05/05/2015,54.5,144,05/07/2015,died in treatment,54.5,144,"peritonitis, septicemia, domoic acid toxicity (acute), perforation",domoic acid toxicity (acute)
